run;mean_throughput_time
1;14155.16141
2;12337.30237
3;12850.93328
4;12634.01355
5;12657.60093
6;11596.47872
7;11059.58638
8;11565.0986
9;13943.55387
10;11620.21676
11;13900.35744
12;14748.32993
13;12636.49066
14;12607.51791
15;10269.70791
16;12325.20077
17;15348.96648
18;11348.71629
19;13077.22636
20;17236.50236
21;12950.76278
22;13879.07022
23;10093.26117
24;12061.09164
25;10112.23472
26;13454.93537
27;11600.66839
28;13127.15359
29;10390.38981
30;20194.38677
31;10701.46385
32;10905.73998
33;11177.83483
34;14031.28799
35;11742.88562
36;11304.56941
37;13157.66708
38;11045.57811
39;11411.81818
40;12060.49322
41;12971.21276
42;11694.47134
43;12348.70229
44;12315.46281
45;12916.89993
46;16178.7238
47;12136.39502
48;12398.19031
49;11882.31795
50;12370.15711
